Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
257,Baguette,1003,581,6.0,16.0,49.0,2.67
258,Round,467,577,14.6,21.4,163.5,1.46
259,Marquise,977,577,8.0,13.0,66.5,1.62
260,Round,483,568,22.8,27.7,312.0,1.22
261,Round,937,579,19.4,13.4,138.0,1.45
262,Baguette,1036,589,5.0,15.0,35.5,3.0
263,Round,165,590,13.0,12.3,93.0,1.06
264,Round,195,587,12.6,12.2,113.0,1.03
265,Marquise,168,598,22.0,36.7,520.5,1.66
266,Marquise,931,594,20.5,10.4,96.0,1.97
267,Round,965,598,14.8,10.6,91.0,1.41
268,Round,997,593,12.5,16.8,132.5,1.34
269,Round,1037,594,13.7,17.3,126.5,1.26
270,Round,201,598,11.8,17.5,128.0,1.48
271,Round,1022,598,21.4,24.0,280.5,1.12
272,Round,919,605,13.4,13.4,141.0,1.0
273,Round,957,605,10.3,12.8,84.5,1.24
274,Marquise,182,617,3.1,6.7,13.0,2.14
275,Round,1026,616,12.0,12.0,87.0,1.0
276,Round,212,612,12.8,18.2,135.0,1.42
277,Baguette,1002,506,135.1,14.4,238.5,9.4
278,Round,902,614,15.2,12.5,124.5,1.21
279,Round,942,620,10.3,13.1,76.0,1.27
280,Marquise,1018,619,9.9,21.0,100.5,2.13
281,Round,974,623,14.6,10.1,83.0,1.45
282,Marquise,183,630,9.0,16.0,86.5,1.78
283,Round,924,629,15.2,14.3,155.5,1.06
284,Round,228,628,12.8,13.2,117.5,1.03
285,Baguette,956,614,92.0,27.3,460.5,3.37
286,Round,977,632,11.6,8.1,47.5,1.43
287,Round,238,628,30.0,21.0,390.5,1.43
288,Round,888,623,31.5,26.7,430.5,1.18
289,Round,1015,642,4.9,5.7,19.5,1.14
290,Round,955,639,19.8,14.1,198.5,1.41
291,Baguette,991,636,16.4,2.6,26.5,6.23
292,Marquise,867,630,19.8,41.1,473.5,2.07
293,Round,907,632,24.2,19.4,295.0,1.25
294,Round,188,638,14.3,18.6,192.5,1.29
295,Marquise,987,640,33.4,20.0,529.0,1.67
296,Baguette,984,650,8.5,2.8,17.0,3.0
297,Marquise,202,649,10.2,6.6,30.0,1.55
